ac_no,ac_name,winner_party,winner_alliance,runner_up_party,runner_up_alliance,winner_votes,runner_up_votes,total_valid_votes,is_real_result
1,Gummidipoondi,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,89332,65937,155269,1
2,Ponneri,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,95979,76643,172622,1
3,Tiruttani,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,93045,69904,162949,1
4,Thiruvallur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,80473,75335,155808,1
5,Poonamallee,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,103952,92189,196141,1
6,Avadi,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,108064,106669,214733,1
7,Maduravoyal,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,99739,91337,191076,1
8,Ambattur,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,94375,76877,171252,1
9,Madavaram,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,122082,106829,228911,1
10,Thiruvottiyur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,82205,77342,159547,1
11,Dr. Radhakrishnan Nagar,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,97218,57673,154891,1
12,Perambur,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,79974,79455,159429,1
13,Kolathur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,91303,53573,144876,1
14,Villivakkam,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,65972,56651,122623,1
15,Thiru-Vi-Ka-Nagar,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,61744,58422,120166,1
16,Egmore,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,55060,44381,99441,1
17,Royapuram,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,55205,47174,102379,1
18,Harbour,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,42071,37235,79306,1
19,Chepauk-Thiruvallikeni,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,67982,53818,121800,1
20,Thousand Lights,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,61726,52897,114623,1
21,Anna Nagar,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,72207,70520,142727,1
22,Virugampakkam,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,65979,63646,129625,1
23,Saidapet,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,79279,63024,142303,1
24,Thiyagarayanagar,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,53207,50052,103259,1
25,Mylapore,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,68176,53448,121624,1
26,Velachery,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,70139,61267,131406,1
27,Sholinganallur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,147014,132101,279115,1
28,Alandur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,96877,77708,174585,1
