feature,importance,rank
ntk_vote_share_2016,0.09547579575811646,1
aiadmk_vote_share_2016,0.09129368875703522,2
others_vote_share_2016,0.08556706390094229,3
margin_pct_2016,0.08204433545552713,4
turnout_pct_2016,0.0811301711540436,5
dmk_vote_share_2016,0.07384514671331814,6
region_West,0.06778590615192201,7
bjp_vote_share_2016,0.06369047348364379,8
district_Coimbatore,0.033291847155345194,9
district_Salem,0.023345980500650947,10
congress_vote_share_2016,0.020355140451510077,11
region_Chennai_Metro,0.01951564942121694,12
region_Central,0.018179699378395007,13
runner_up_party_2016_DMK,0.017808524202894305,14
district_Dharmapuri,0.014031789172764937,15
winner_party_2016_AIADMK,0.012883052363294829,16
reservation_GEN,0.01250675223035304,17
region_North,0.011569366687767028,18
runner_up_party_2016_AIADMK,0.011122573691852496,19
reservation_SC,0.010681967035149611,20
district_Madurai,0.009228471855850604,21
region_South,0.009145447433389537,22
winner_party_2016_DMK,0.008992293740165242,23
district_Dindigul,0.007151533592975927,24
district_Tiruppur,0.0070963114827526175,25
district_Erode,0.006492082040423646,26
district_Krishnagiri,0.0060404409959010415,27
district_The Nilgiris,0.005664981188015775,28
runner_up_party_2016_INC,0.005458967907331797,29
district_Namakkal,0.004924850939253154,30
district_Viluppuram,0.004633393679851233,31
district_Tirunelveli,0.004541107030220136,32
district_Tenkasi,0.004372235063779903,33
district_Chennai,0.004074633914257632,34
district_Tiruchirappalli,0.003991086038280188,35
district_Tiruvannamalai,0.0034825605529999093,36
district_Virudhunagar,0.0032435937915640187,37
winner_party_2016_INC,0.003077185246356547,38
district_Tiruvallur,0.0030169325177162062,39
district_Kanniyakumari,0.0029812498041625144,40
district_Cuddalore,0.002951567271993139,41
district_Thiruvarur,0.0028041944831443564,42
district_Sivaganga,0.002773758581679458,43
district_Thanjavur,0.002669653683923044,44
district_Thoothukudi,0.002565929555395824,45
district_Theni,0.002504377123585738,46
winner_party_2016_IUML,0.002413045634426808,47
district_Pudukkottai,0.0024006558939144,48
runner_up_party_2016_Other,0.0023157760790841414,49
district_Tirupattur,0.0021792213450532224,50
district_Kallakurichi,0.0021000372278764806,51
district_Nagapattinam,0.0019363577808028181,52
district_Ranipet,0.0019254219849028742,53
runner_up_party_2016_PMK,0.0018910835627846234,54
district_Vellore,0.0017693174811324948,55
district_Chengalpattu,0.0017411702726017055,56
runner_up_party_2016_IUML,0.0015371874199605873,57
district_Karur,0.001305452301472656,58
district_Ariyalur,0.001080235750444317,59
runner_up_party_2016_BJP,0.0010364825016725258,60
district_Ramanathapuram,0.0009043923567856494,61
reservation_ST,0.0008031319335764821,62
runner_up_party_2016_CPI,0.0007052590609900221,63
district_Mayiladuthurai,0.0007010933967257493,64
district_Perambalur,0.0005977143634475002,65
district_Kancheepuram,0.0003457549301503449,66
runner_up_party_2016_VCK,0.0003074455414823893,67
