feature,importance,rank
aiadmk_vote_share_2016,0.0926291431459965,1
dmk_vote_share_2016,0.08575558902182866,2
margin_pct_2016,0.08379379455780832,3
ntk_vote_share_2016,0.083347419579567,4
others_vote_share_2016,0.07757867200111465,5
turnout_pct_2016,0.07583311312027495,6
bjp_vote_share_2016,0.06651554870198371,7
region_West,0.041488854449432656,8
congress_vote_share_2016,0.03923197011287852,9
district_Coimbatore,0.019984696943330934,10
reservation_GEN,0.01600399315975668,11
region_Chennai_Metro,0.01540477970464753,12
region_Central,0.01490279782304214,13
winner_party_2016_DMK,0.014855205870430098,14
reservation_SC,0.014683345301995674,15
runner_up_party_2016_DMK,0.014230322188848045,16
runner_up_party_2016_AIADMK,0.014161583573144029,17
district_Salem,0.013333409395844488,18
winner_party_2016_AIADMK,0.013236258548809516,19
region_South,0.010968042972489732,20
winner_party_2016_INC,0.010408088658519657,21
district_Nagapattinam,0.010405094866803842,22
district_Dharmapuri,0.009020619257742717,23
region_North,0.008362716692559752,24
district_Erode,0.007576127160211675,25
runner_up_party_2016_INC,0.007466056016946117,26
district_Krishnagiri,0.007377575091486609,27
district_Chengalpattu,0.0064481235306296306,28
district_Pudukkottai,0.005816723225995615,29
runner_up_party_2016_BJP,0.0057966413095729774,30
district_Tiruppur,0.005643524673436191,31
district_Tirunelveli,0.005569323447138284,32
district_Kanniyakumari,0.005483899613452365,33
district_Madurai,0.005422064217614192,34
district_Tiruvallur,0.005122988129455547,35
district_Thiruvarur,0.0050580542082895785,36
district_Tenkasi,0.005042210204096345,37
district_Virudhunagar,0.004763374718322528,38
district_Dindigul,0.004489047581629215,39
district_Ramanathapuram,0.004134095648247178,40
district_Chennai,0.0041241558946399385,41
district_Cuddalore,0.004024202153793447,42
district_Namakkal,0.003909902746851669,43
district_The Nilgiris,0.0038580734598321655,44
district_Tiruchirappalli,0.003525225227021132,45
district_Ranipet,0.003140913077410464,46
district_Mayiladuthurai,0.0030583467333310764,47
runner_up_party_2016_Other,0.00301116605703791,48
district_Viluppuram,0.0028581326720211356,49
district_Sivaganga,0.0025934275177648654,50
runner_up_party_2016_VCK,0.0025523302856201233,51
district_Tiruvannamalai,0.0024938963661227174,52
district_Thoothukudi,0.00242096992214499,53
district_Theni,0.002192597775143564,54
district_Kancheepuram,0.0020231080712905833,55
district_Thanjavur,0.0019376285363255632,56
runner_up_party_2016_CPI,0.0019160178349946003,57
district_Tirupattur,0.0018780828442477105,58
runner_up_party_2016_PMK,0.0017918511165873167,59
district_Karur,0.0016492454384207658,60
district_Kallakurichi,0.0014371313405283168,61
runner_up_party_2016_IUML,0.0013651133102309367,62
winner_party_2016_IUML,0.0011894444627957388,63
district_Vellore,0.0010518743802957835,64
district_Perambalur,0.0010107806709011879,65
district_Ariyalur,0.0008461122463351771,66
reservation_ST,0.0007953814329372265,67
