ac_no,ac_name,winner_party,winner_alliance,runner_up_party,runner_up_alliance,winner_votes,runner_up_votes,total_valid_votes,is_real_result
1,Gummidipoondi,DMK,DMK_ALLIANCE,PMK,AIADMK_NDA,0,0,0,1
2,Ponneri,INC,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
3,Tiruttani,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
4,Thiruvallur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
5,Poonamallee,DMK,DMK_ALLIANCE,PMK,AIADMK_NDA,0,0,0,1
6,Avadi,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
7,Maduravoyal,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
8,Ambattur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
9,Madavaram,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
10,Thiruvottiyur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
11,Dr. Radhakrishnan Nagar,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
12,Perambur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
13,Kolathur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
14,Villivakkam,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
15,Thiru-Vi-Ka-Nagar,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
16,Egmore,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
17,Royapuram,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
18,Harbour,DMK,DMK_ALLIANCE,BJP,AIADMK_NDA,0,0,0,1
19,Chepauk-Thiruvallikeni,DMK,DMK_ALLIANCE,PMK,AIADMK_NDA,0,0,0,1
20,Thousand Lights,DMK,DMK_ALLIANCE,BJP,AIADMK_NDA,0,0,0,1
21,Anna Nagar,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
22,Virugampakkam,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
23,Saidapet,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
24,Thiyagarayanagar,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
25,Mylapore,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
26,Velachery,INC,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
27,Sholinganallur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
28,Alandur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
29,Sriperumbudur,INC,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
30,Pallavaram,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
31,Tambaram,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
32,Chengalpattu,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
33,Thiruporur,VCK,DMK_ALLIANCE,PMK,AIADMK_NDA,0,0,0,1
34,Cheyyur,VCK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
35,Madurantakam,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
36,Uthiramerur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
37,Kancheepuram,DMK,DMK_ALLIANCE,PMK,AIADMK_NDA,0,0,0,1
38,Arakkonam,AIADMK,AIADMK_NDA,VCK,DMK_ALLIANCE,0,0,0,1
39,Sholingur,INC,DMK_ALLIANCE,PMK,AIADMK_NDA,0,0,0,1
40,Katpadi,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
41,Ranipet,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
42,Arcot,DMK,DMK_ALLIANCE,PMK,AIADMK_NDA,0,0,0,1
43,Vellore,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
44,Anaikattu,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
45,Kilvaithinankuppam,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
46,Gudiyattam,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
47,Vaniyambadi,AIADMK,AIADMK_NDA,IUML,DMK_ALLIANCE,0,0,0,1
48,Ambur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
49,Jolarpet,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
50,Tirupattur,DMK,DMK_ALLIANCE,,,0,0,0,1
51,Uthangarai,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,0,0,0,1
52,Bargur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
53,Krishnagiri,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
54,Veppanahalli,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
55,Hosur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
56,Thalli,CPI,DMK_ALLIANCE,BJP,AIADMK_NDA,0,0,0,1
57,Palacode,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
58,Pennagaram,PMK,AIADMK_NDA,,,0,0,0,1
59,Dharmapuri,PMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
60,Pappireddippatti,AIADMK,AIADMK_NDA,,,0,0,0,1
61,Harur,AIADMK,AIADMK_NDA,CPI(M),DMK_ALLIANCE,0,0,0,1
62,Chengam,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
63,Tiruvannamalai,DMK,DMK_ALLIANCE,BJP,AIADMK_NDA,0,0,0,1
64,Kilpennathur,DMK,DMK_ALLIANCE,PMK,AIADMK_NDA,0,0,0,1
65,Kalasapakkam,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
66,Polur,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
67,Arani,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
68,Cheyyar,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
69,Vandavasi,DMK,DMK_ALLIANCE,PMK,AIADMK_NDA,0,0,0,1
70,Gingee,DMK,DMK_ALLIANCE,PMK,AIADMK_NDA,0,0,0,1
71,Mailam,PMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
72,Tindivanam,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
73,Vanur,AIADMK,AIADMK_NDA,VCK,DMK_ALLIANCE,0,0,0,1
74,Viluppuram,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
75,Vikravandi,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
76,Tirukkoyilur,DMK,DMK_ALLIANCE,BJP,AIADMK_NDA,0,0,0,1
77,Ulundurpettai,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
78,Rishivandiyam,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
79,Sankarapuram,DMK,DMK_ALLIANCE,PMK,AIADMK_NDA,0,0,0,1
80,Kallakurichi,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,0,0,0,1
81,Gangavalli,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
82,Attur,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
83,Yercaud,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
84,Omalur,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,0,0,0,1
85,Mettur,PMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
86,Edappadi,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
87,Sankari,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
88,Salem West,PMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
89,Salem North,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
90,Salem South,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
91,Veerapandi,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
92,Rasipuram,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
93,Senthamangalam,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
94,Namakkal,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
95,Paramathi-Velur,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
96,Tiruchengodu,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
97,Kumarapalayam,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
98,Erode East,INC,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
99,Erode West,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
100,Modakkurichi,BJP,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
101,Dharapuram,DMK,DMK_ALLIANCE,BJP,AIADMK_NDA,0,0,0,1
102,Kangayam,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
103,Perundurai,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
104,Bhavani,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
105,Anthiyur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
106,Gobichettipalayam,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
107,Bhavanisagar,AIADMK,AIADMK_NDA,CPI,DMK_ALLIANCE,0,0,0,1
108,Udhagamandalam,INC,DMK_ALLIANCE,BJP,AIADMK_NDA,0,0,0,1
