ac_no,ac_name,district,region_5way,reservation,is_reserved,winner_party_2016,winner_alliance_2016,runner_up_party_2016,runner_up_alliance_2016,winner_party_2021,winner_alliance_2021,runner_up_party_2021,runner_up_alliance_2021,winner_votes_2021,runner_up_votes_2021,total_valid_votes_2021,margin_pct_2021,vote_share_2021,proj_2026_dmk_alliance_pct,proj_2026_aiadmk_nda_pct,proj_2026_tvk_pct,proj_2026_ntk_pct,proj_2026_others_pct,proj_2026_winner,proj_2026_margin_pct
1,Gummidipoondi,Tiruvallur,Chennai_Metro,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,DMK,DMK_ALLIANCE,PMK,AIADMK_NDA,0,0,0,0.0,0.0,0.487829,0.312148,0.12742,0.038497,0.034107,DMK_ALLIANCE,0.175681
2,Ponneri,Tiruvallur,Chennai_Metro,SC,1,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,INC,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.475032,0.311088,0.153907,0.041045,0.018928,DMK_ALLIANCE,0.163944
3,Tiruttani,Tiruvallur,Chennai_Metro,GEN,0,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.455608,0.325374,0.131413,0.052494,0.035111,DMK_ALLIANCE,0.130234
4,Thiruvallur,Tiruvallur,Chennai_Metro,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.443986,0.321157,0.141519,0.062975,0.030363,DMK_ALLIANCE,0.122829
5,Poonamallee,Tiruvallur,Chennai_Metro,SC,1,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,DMK,DMK_ALLIANCE,PMK,AIADMK_NDA,0,0,0,0.0,0.0,0.490599,0.315486,0.129522,0.023692,0.0407,DMK_ALLIANCE,0.175113
6,Avadi,Tiruvallur,Chennai_Metro,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.462063,0.317286,0.143696,0.036748,0.040208,DMK_ALLIANCE,0.144777
7,Maduravoyal,Tiruvallur,Chennai_Metro,GEN,0,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.463416,0.336524,0.151934,0.014904,0.033223,DMK_ALLIANCE,0.126892
8,Ambattur,Tiruvallur,Chennai_Metro,GEN,0,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.48128,0.318342,0.155929,0.011617,0.032833,DMK_ALLIANCE,0.162938
9,Madavaram,Tiruvallur,Chennai_Metro,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.464249,0.320816,0.13356,0.047023,0.034352,DMK_ALLIANCE,0.143433
10,Thiruvottiyur,Tiruvallur,Chennai_Metro,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.457459,0.325812,0.148844,0.028859,0.039025,DMK_ALLIANCE,0.131647
11,Dr. Radhakrishnan Nagar,Chennai,Chennai_Metro,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.461745,0.333528,0.140113,0.018998,0.045616,DMK_ALLIANCE,0.128217
12,Perambur,Chennai,Chennai_Metro,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.460285,0.335669,0.138925,0.029138,0.035984,DMK_ALLIANCE,0.124616
13,Kolathur,Chennai,Chennai_Metro,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.446876,0.337108,0.129588,0.030234,0.056193,DMK_ALLIANCE,0.109768
14,Villivakkam,Chennai,Chennai_Metro,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.470217,0.326241,0.141283,0.048849,0.013411,DMK_ALLIANCE,0.143976
15,Thiru-Vi-Ka-Nagar,Chennai,Chennai_Metro,SC,1,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.465037,0.325716,0.137114,0.039564,0.032569,DMK_ALLIANCE,0.139321
16,Egmore,Chennai,Chennai_Metro,SC,1,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.458066,0.307388,0.154191,0.045271,0.035084,DMK_ALLIANCE,0.150678
17,Royapuram,Chennai,Chennai_Metro,GEN,0,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.45899,0.333938,0.125921,0.045781,0.035369,DMK_ALLIANCE,0.125052
18,Harbour,Chennai,Chennai_Metro,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,BJP,AIADMK_NDA,0,0,0,0.0,0.0,0.437176,0.332588,0.170064,0.03838,0.021793,DMK_ALLIANCE,0.104588
19,Chepauk-Thiruvallikeni,Chennai,Chennai_Metro,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,PMK,AIADMK_NDA,0,0,0,0.0,0.0,0.451076,0.319789,0.139221,0.050355,0.039559,DMK_ALLIANCE,0.131287
20,Thousand Lights,Chennai,Chennai_Metro,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,BJP,AIADMK_NDA,0,0,0,0.0,0.0,0.435999,0.317426,0.160978,0.03598,0.049617,DMK_ALLIANCE,0.118573
21,Anna Nagar,Chennai,Chennai_Metro,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.443801,0.356162,0.12877,0.046837,0.024432,DMK_ALLIANCE,0.087639
22,Virugampakkam,Chennai,Chennai_Metro,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.469525,0.32839,0.151762,0.02971,0.020612,DMK_ALLIANCE,0.141135
23,Saidapet,Chennai,Chennai_Metro,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.447831,0.318667,0.14165,0.052414,0.039438,DMK_ALLIANCE,0.129164
24,Thiyagarayanagar,Chennai,Chennai_Metro,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.473793,0.327677,0.122667,0.015821,0.060041,DMK_ALLIANCE,0.146116
25,Mylapore,Chennai,Chennai_Metro,GEN,0,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.479925,0.314337,0.129207,0.044605,0.031925,DMK_ALLIANCE,0.165588
26,Velachery,Chennai,Chennai_Metro,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.476894,0.329766,0.150327,0.006353,0.036659,DMK_ALLIANCE,0.147128
27,Sholinganallur,Chengalpattu,Chennai_Metro,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.460368,0.347514,0.124686,0.036379,0.031054,DMK_ALLIANCE,0.112854
28,Alandur,Kancheepuram,Chennai_Metro,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.472816,0.324187,0.130551,0.031938,0.040508,DMK_ALLIANCE,0.148629
29,Sriperumbudur,Kancheepuram,Chennai_Metro,SC,1,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,INC,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.455445,0.336149,0.160063,0.022193,0.02615,DMK_ALLIANCE,0.119296
30,Pallavaram,Chengalpattu,Chennai_Metro,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.491156,0.329674,0.136758,0.006097,0.036315,DMK_ALLIANCE,0.161482
31,Tambaram,Chengalpattu,Chennai_Metro,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.481999,0.338928,0.150004,0.01124,0.017829,DMK_ALLIANCE,0.143071
32,Chengalpattu,Chengalpattu,Chennai_Metro,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.460207,0.352107,0.118812,0.028689,0.040185,DMK_ALLIANCE,0.1081
33,Thiruporur,Chengalpattu,Chennai_Metro,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,VCK,DMK_ALLIANCE,PMK,AIADMK_NDA,0,0,0,0.0,0.0,0.472775,0.338045,0.137309,0.03376,0.018113,DMK_ALLIANCE,0.13473
34,Cheyyur,Chengalpattu,Chennai_Metro,SC,1,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,VCK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.373923,0.156003,0.426113,0.038356,0.005604,TVK,0.05219
35,Madurantakam,Chengalpattu,Chennai_Metro,SC,1,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.364588,0.420628,0.156103,0.038925,0.019756,AIADMK_NDA,0.05604
36,Uthiramerur,Kancheepuram,Chennai_Metro,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.46676,0.327235,0.145803,0.01051,0.049692,DMK_ALLIANCE,0.139525
37,Kancheepuram,Kancheepuram,Chennai_Metro,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,PMK,AIADMK_NDA,0,0,0,0.0,0.0,0.463191,0.330978,0.137836,0.034027,0.033968,DMK_ALLIANCE,0.132213
38,Arakkonam,Ranipet,North,SC,1,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,VCK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.387619,0.456099,0.101426,0.04314,0.011717,AIADMK_NDA,0.06848
