district,total_voters,men_voters,women_voters,third_gender_voters,men_pct,women_pct,third_gender_pct,ac_count,reserved_count,reserved_share_pct
Ariyalur,522954,259234,263692,28,49.5711,50.4236,0.005354,2,0,0.0
Chengalpattu,2260036,1104511,1155144,381,48.8714,51.1118,0.016858,7,2,28.5714
Chennai,2830936,1365763,1464344,829,48.2442,51.7265,0.029284,16,2,12.5
Coimbatore,2696813,1300889,1395396,528,48.238,51.7424,0.019579,10,1,10.0
Cuddalore,2015796,991527,1023976,293,49.1879,50.7976,0.014535,9,2,22.2222
Dharmapuri,1240108,624647,615311,150,50.3704,49.6175,0.012096,5,1,20.0
Dindigul,1672075,812937,858964,174,48.6185,51.3711,0.010406,7,1,14.2857
Erode,1740222,838466,901574,182,48.1816,51.808,0.010458,8,1,12.5
Kallakurichi,1109911,552101,557600,210,49.7428,50.2383,0.01892,4,1,25.0
Kancheepuram,1192194,578080,613917,197,48.4888,51.4947,0.016524,4,1,25.0
Kanniyakumari,1510550,751016,759390,144,49.718,50.2724,0.009533,6,0,0.0
Karur,845164,406027,439054,83,48.0412,51.949,0.009821,4,1,25.0
Krishnagiri,1554040,776318,777458,264,49.9548,50.0282,0.016988,6,1,16.6667
Madurai,2466954,1208651,1258051,252,48.9937,50.9961,0.010215,10,1,10.0
Mayiladuthurai,729216,360493,368676,47,49.4357,50.5579,0.006445,3,1,33.3333
Nagapattinam,527947,259620,268298,29,49.1754,50.8191,0.005493,3,1,33.3333
Namakkal,1310951,635299,675452,200,48.4609,51.5238,0.015256,6,2,33.3333
Perambalur,555131,271634,283466,31,48.9315,51.0629,0.005584,2,1,50.0
Pudukkottai,1298907,641276,657562,69,49.3704,50.6243,0.005312,6,1,16.6667
Ramanathapuram,1123029,556321,566653,55,49.5375,50.4576,0.004897,4,1,25.0
Ranipet,944701,461213,483377,111,48.8211,51.1672,0.01175,4,1,25.0
Salem,2755830,1370962,1384548,320,49.7477,50.2407,0.011612,11,3,27.2727
Sivaganga,1110599,544035,566526,38,48.9857,51.0109,0.003422,4,1,25.0
Tenkasi,1264411,618063,646180,168,48.8815,51.1052,0.013287,5,2,40.0
Thanjavur,1951445,947278,1004012,155,48.5424,51.4497,0.007943,8,1,12.5
The Nilgiris,547133,261317,285791,25,47.7611,52.2343,0.004569,3,1,33.3333
Theni,1033373,502311,530887,175,48.6089,51.3742,0.016935,4,1,25.0
Thiruvarur,979652,480679,498919,54,49.0663,50.9282,0.005512,4,1,25.0
Thoothukudi,1376624,671742,704689,193,48.7963,51.1896,0.01402,6,1,16.6667
Tiruchirappalli,2126303,1031354,1094642,307,48.5046,51.481,0.014438,9,1,11.1111
Tirunelveli,1253264,611601,641518,145,48.8007,51.1878,0.01157,5,0,0.0
Tirupattur,911599,449464,461996,139,49.305,50.6797,0.015248,4,0,0.0
Tiruppur,1955283,944178,1010853,252,48.2886,51.6986,0.012888,8,2,25.0
Tiruvallur,3157413,1544710,1612090,613,48.9233,51.0573,0.019415,10,2,20.0
Tiruvannamalai,1919159,943727,975277,155,49.174,50.8179,0.008076,8,2,25.0
Vellore,1133587,549654,583769,164,48.488,51.4975,0.014467,5,2,40.0
Viluppuram,1586653,783288,803154,211,49.3673,50.6194,0.013298,7,2,28.5714
Virudhunagar,1497417,728539,768632,246,48.653,51.3305,0.016428,7,1,14.2857
