year,ac_no,ac_name,district,winner,winner_party,runner_up,runner_party,winner_votes,runner_votes,margin_votes,winner_vote_share,runner_vote_share
2016,1,Gummidipoondi,Tiruvallur,VIJAYAKUMAR K S,AIADMK_NDA,SEKAR C H,DMK_ALLIANCE,89332,65937,23395,41.68,30.76
2016,2,Ponneri,Tiruvallur,BALARAMAN P,AIADMK_NDA,PARIMALAM K DOCTOR,DMK_ALLIANCE,95979,76643,19336,48.56,38.78
2016,3,Tiruttani,Tiruvallur,NARASIMHAN P M,AIADMK_NDA,CHIDAMBARAM A G,DMK_ALLIANCE,93045,69904,23141,41.84,31.43
2016,4,Thiruvallur,Tiruvallur,RAAJENDRAN V G,DMK_ALLIANCE,BASKARAN A,AIADMK_NDA,80473,75335,5138,39.02,36.53
2016,5,Poonamallee,Tiruvallur,ELUMALAI T A,AIADMK_NDA,PARANTHAMEN I,DMK_ALLIANCE,103952,92189,11763,43.32,38.41
2016,6,Avadi,Tiruvallur,PANDIA RAJAN K,AIADMK_NDA,NASAR S M,DMK_ALLIANCE,108064,106669,1395,39.92,39.4
2016,7,Maduravoyal,Tiruvallur,BENJAMIN P,AIADMK_NDA,RAJESH R,DMK_ALLIANCE,99739,91337,8402,40.12,36.74
2016,8,Ambattur,Tiruvallur,ALEXANDER V,AIADMK_NDA,AASSAN MAULAANA,DMK_ALLIANCE,94375,76877,17498,41.1,33.48
2016,9,Madavaram,Tiruvallur,SUDHARSANAM S,DMK_ALLIANCE,DHAKSHNAMOORTHY D,AIADMK_NDA,122082,106829,15253,45.43,39.76
2016,10,Thiruvottiyur,Tiruvallur,SAMY.K.P.P,DMK_ALLIANCE,BALRAJ.B,AIADMK_NDA,82205,77342,4863,43.25,40.69
2016,11,Dr. Radhakrishnan Nagar,Chennai,JAYALALITHAA J,AIADMK_NDA,SHIMLA MUTHUCHOZHAN,DMK_ALLIANCE,97218,57673,39545,55.87,33.14
2016,12,Perambur,Chennai,P VETRIVEL,AIADMK_NDA,N R DHANAPALAN,DMK_ALLIANCE,79974,79455,519,42.39,42.11
2016,13,Kolathur,Chennai,STALIN.M.K,DMK_ALLIANCE,PRABHAKAR.J.C.D,AIADMK_NDA,91303,53573,37730,54.25,31.83
2016,14,Villivakkam,Chennai,B. RANGANATHAN,DMK_ALLIANCE,THADI M.RAJU,AIADMK_NDA,65972,56651,9321,43.96,37.75
2016,15,Thiru-Vi-Ka-Nagar,Chennai,SIVAKUMAR P @ THAYAGAM KAVI,DMK_ALLIANCE,NEELAKANDAN V,AIADMK_NDA,61744,58422,3322,45.25,42.82
2016,16,Egmore,Chennai,RAVICHANDRAN K.S,DMK_ALLIANCE,PARITHI ELLAMVAZHUTHI E,AIADMK_NDA,55060,44381,10679,45.64,36.79
2016,17,Royapuram,Chennai,JAYAKUMAR D,AIADMK_NDA,MANOHAR R,DMK_ALLIANCE,55205,47174,8031,45.21,38.63
2016,18,Harbour,Chennai,SEKAR BABU P K,DMK_ALLIANCE,SREENIVASAN K S,AIADMK_NDA,42071,37235,4836,40.36,35.72
2016,19,Chepauk-Thiruvallikeni,Chennai,J.ANBAZHAGAN,DMK_ALLIANCE,A.NOORJAHAN,AIADMK_NDA,67982,53818,14164,47.32,37.46
2016,20,Thousand Lights,Chennai,SELVAM KU. KA,DMK_ALLIANCE,VALARMATHI B,AIADMK_NDA,61726,52897,8829,43.35,37.15
2016,21,Anna Nagar,Chennai,MOHAN M.K.,DMK_ALLIANCE,GOKULAINDIRA S,AIADMK_NDA,70812,69726,1086,41.59,40.95
2016,22,Virugampakkam,Chennai,V.N.VIRUGAI RAVI,AIADMK_NDA,K THANASEKARAN,DMK_ALLIANCE,65979,63646,2333,38.51,37.15
2016,23,Saidapet,Chennai,SUBRAMANIAN.MA,DMK_ALLIANCE,PONNAYAN.C,AIADMK_NDA,79279,63024,16255,47.18,37.51
2016,24,Thiyagarayanagar,Chennai,SATHYANARAYANAN.B,AIADMK_NDA,DR.N.S.KANIMOZHI,DMK_ALLIANCE,53207,50052,3155,37.47,35.25
2016,25,Mylapore,Chennai,NATARAJ.R IPS (RTD),AIADMK_NDA,KARATE THIAGARAJAN.R,DMK_ALLIANCE,68176,53448,14728,43.67,34.23
2016,26,Velachery,Chennai,VAGAI CHANDERASEKAR,DMK_ALLIANCE,C MUNUSAMY,AIADMK_NDA,70139,61267,8872,39.96,34.91
