ac_no,ac_name,district,region,reservation,urban_rural_type,total_voters,male_voters,female_voters,gender_gap,first_time_voters,winner_2016,winner_party_2016,runner_up_2016,runner_up_party_2016,winner_votes_2016,runner_up_votes_2016,margin_votes_2016,margin_pct_2016,turnout_pct_2016,dmk_vote_share_2016,aiadmk_vote_share_2016,bjp_vote_share_2016,congress_vote_share_2016,ntk_vote_share_2016,others_vote_share_2016,winner_2021,winner_party_2021,runner_up_2021,runner_up_party_2021,winner_votes_2021,runner_up_votes_2021,margin_votes_2021,margin_pct_2021,turnout_pct_2021,dmk_vote_share_2021,aiadmk_vote_share_2021,bjp_vote_share_2021,congress_vote_share_2021,ntk_vote_share_2021,others_vote_share_2021
1,Gummidipoondi,Tiruvallur,Chennai_Metro,GEN,needs_source,,,,,,VIJAYAKUMAR K S,AIADMK,SEKAR C H,DMK,89332.0,65937.0,23395.0,10.91,82.15,30.7617,41.6762,0.976,0.0,0.5832,26.0029,GOVINDARAJAN T.J,DMK,PRAKASH M,PMK,126452,75514,50938,22.94,78.08,56.9427,0.0,0.0,0.0,5.2691,37.7882
2,Ponneri,Tiruvallur,Chennai_Metro,SC,needs_source,,,,,,BALARAMAN P,AIADMK,PARIMALAM K DOCTOR,DMK,95979.0,76643.0,19336.0,9.78,78.93,38.7775,48.5606,1.0458,0.0,0.8196,10.7965,DURAI. CHANDRASEKAR,INC,BALARAMAN. P,AIADMK,94528,84839,9689,4.61,78.2,0.0,40.3315,0.0,44.9376,9.0452,5.6857
3,Tiruttani,Tiruvallur,Chennai_Metro,GEN,needs_source,,,,,,NARASIMHAN P M,AIADMK,CHIDAMBARAM A G,INC,93045.0,69904.0,23141.0,10.4,80.93,0.0,41.8351,2.4842,31.4304,0.4842,23.7661,S.Chandran,DMK,G.Hari,AIADMK,120314,91061,29253,12.58,78.76,51.7204,39.1451,0.0,0.0,5.1615,3.973
4,Thiruvallur,Tiruvallur,Chennai_Metro,GEN,needs_source,,,,,,RAAJENDRAN V G,DMK,BASKARAN A,AIADMK,80473.0,75335.0,5138.0,2.49,80.08,39.0183,36.5271,0.8854,0.0,0.7035,22.8657,"RAAJENDRAN, V.G.",DMK,"RAMANAH, BE VEE",AIADMK,107709,85008,22701,10.6,77.2,50.2742,39.6783,0.0,0.0,7.0145,3.033
5,Poonamallee,Tiruvallur,Chennai_Metro,SC,needs_source,,,,,,ELUMALAI T A,AIADMK,PARANTHAMEN I,DMK,103952.0,92189.0,11763.0,4.9,76.01,38.4142,43.3157,1.4401,0.0,1.0676,15.7624,Krishnaswamy A,DMK,Rajamannar S X,PMK,149578,55468,94110,35.68,72.99,56.715,0.0,0.0,0.0,11.3261,31.9589
6,Avadi,Tiruvallur,Chennai_Metro,GEN,needs_source,,,,,,PANDIA RAJAN K,AIADMK,NASAR S M,DMK,108064.0,106669.0,1395.0,0.52,67.92,39.4002,39.9155,2.6713,0.0,1.5887,16.4243,Nasar S M,DMK,Pandiarajan K,AIADMK,150287,95012,55275,18.37,67.37,49.9413,31.5731,0.0,0.0,9.9981,8.4875
7,Maduravoyal,Tiruvallur,Chennai_Metro,GEN,needs_source,,,,,,BENJAMIN P,AIADMK,RAJESH R,INC,99739.0,91337.0,8402.0,3.38,61.81,0.0,40.1208,0.0,36.741,2.4864,20.6518,GANAPATHY.K,DMK,BENJAMIN.P,AIADMK,121298,89577,31721,11.58,60.3,44.2904,32.7079,0.0,0.0,7.6843,15.3174
8,Ambattur,Tiruvallur,Chennai_Metro,GEN,needs_source,,,,,,ALEXANDER V,AIADMK,AASSAN MAULAANA,INC,94375.0,76877.0,17498.0,7.62,63.9,0.0,41.0984,4.1645,33.4783,2.1966,19.0622,JOSEPH SAMUEL,DMK,V ALEXANDER,AIADMK,114554,72408,42146,17.54,62.01,47.6714,30.1325,0.0,0.0,9.447,12.7491
9,Madavaram,Tiruvallur,Chennai_Metro,GEN,needs_source,,,,,,SUDHARSANAM S,DMK,DHAKSHNAMOORTHY D,AIADMK,122082.0,106829.0,15253.0,5.68,68.5,45.4313,39.7551,1.9206,0.0,1.3758,11.5172,SUDHARSANAM. S,DMK,Moorthy. V,AIADMK,151485,94414,57071,18.85,66.37,50.0446,31.1906,0.0,0.0,9.0694,9.6954
10,Thiruvottiyur,Tiruvallur,Chennai_Metro,GEN,needs_source,,,,,,SAMY.K.P.P,DMK,BALRAJ.B,AIADMK,82205.0,77342.0,4863.0,2.56,66.92,43.2519,40.6933,1.7431,0.0,2.0841,12.2276,K.P.SHANKAR,DMK,K.KUPPAN,AIADMK,88185,50524,37661,18.83,65.15,44.0934,25.2625,0.0,0.0,24.299,6.3451
