ac_no,ac_name,district,region,reservation,urban_rural_type,winner_2021,winner_party_2021,runner_up_2021,runner_up_party_2021,winner_votes_2021,runner_up_votes_2021,margin_votes_2021,margin_pct_2021,turnout_pct_2021,dmk_vote_share_2021,aiadmk_vote_share_2021,bjp_vote_share_2021,congress_vote_share_2021,ntk_vote_share_2021,others_vote_share_2021,dmk_alliance_vote_share_2024,aiadmk_alliance_vote_share_2024,bjp_nda_vote_share_2024,ntk_vote_share_2024,others_vote_share_2024,winning_alliance_2024,contesting_alliance_2026,dmk_alliance_candidate_2026,aiadmk_nda_candidate_2026,tvk_candidate_2026,ntk_candidate_2026,bjp_candidate_2026_if_separate,incumbent_party,incumbent_candidate,incumbent_contesting_again,alliance_change_flag,rebel_candidate_flag,strong_local_candidate_flag
1,Gummidipoondi,Tiruvallur,Chennai_Metro,GEN,needs_source,GOVINDARAJAN T.J,DMK,PRAKASH M,PMK,126452,75514,50938,22.94,78.08,56.9427,0.0,0.0,0.0,5.2691,37.7882,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
2,Ponneri,Tiruvallur,Chennai_Metro,SC,needs_source,DURAI. CHANDRASEKAR,INC,BALARAMAN. P,AIADMK,94528,84839,9689,4.61,78.2,0.0,40.3315,0.0,44.9376,9.0452,5.6857,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
3,Tiruttani,Tiruvallur,Chennai_Metro,GEN,needs_source,S.Chandran,DMK,G.Hari,AIADMK,120314,91061,29253,12.58,78.76,51.7204,39.1451,0.0,0.0,5.1615,3.973,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
4,Thiruvallur,Tiruvallur,Chennai_Metro,GEN,needs_source,"RAAJENDRAN, V.G.",DMK,"RAMANAH, BE VEE",AIADMK,107709,85008,22701,10.6,77.2,50.2742,39.6783,0.0,0.0,7.0145,3.033,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
5,Poonamallee,Tiruvallur,Chennai_Metro,SC,needs_source,Krishnaswamy A,DMK,Rajamannar S X,PMK,149578,55468,94110,35.68,72.99,56.715,0.0,0.0,0.0,11.3261,31.9589,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
6,Avadi,Tiruvallur,Chennai_Metro,GEN,needs_source,Nasar S M,DMK,Pandiarajan K,AIADMK,150287,95012,55275,18.37,67.37,49.9413,31.5731,0.0,0.0,9.9981,8.4875,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
7,Maduravoyal,Tiruvallur,Chennai_Metro,GEN,needs_source,GANAPATHY.K,DMK,BENJAMIN.P,AIADMK,121298,89577,31721,11.58,60.3,44.2904,32.7079,0.0,0.0,7.6843,15.3174,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
8,Ambattur,Tiruvallur,Chennai_Metro,GEN,needs_source,JOSEPH SAMUEL,DMK,V ALEXANDER,AIADMK,114554,72408,42146,17.54,62.01,47.6714,30.1325,0.0,0.0,9.447,12.7491,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
9,Madavaram,Tiruvallur,Chennai_Metro,GEN,needs_source,SUDHARSANAM. S,DMK,Moorthy. V,AIADMK,151485,94414,57071,18.85,66.37,50.0446,31.1906,0.0,0.0,9.0694,9.6954,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
10,Thiruvottiyur,Tiruvallur,Chennai_Metro,GEN,needs_source,K.P.SHANKAR,DMK,K.KUPPAN,AIADMK,88185,50524,37661,18.83,65.15,44.0934,25.2625,0.0,0.0,24.299,6.3451,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
