ac_no,ac_name,reservation,district,region_5way,is_reserved,election_cycle
1,Gummidipoondi,GEN,Tiruvallur,Chennai_Metro,0,TNLA_2026
2,Ponneri,SC,Tiruvallur,Chennai_Metro,1,TNLA_2026
3,Tiruttani,GEN,Tiruvallur,Chennai_Metro,0,TNLA_2026
4,Thiruvallur,GEN,Tiruvallur,Chennai_Metro,0,TNLA_2026
5,Poonamallee,SC,Tiruvallur,Chennai_Metro,1,TNLA_2026
6,Avadi,GEN,Tiruvallur,Chennai_Metro,0,TNLA_2026
7,Maduravoyal,GEN,Tiruvallur,Chennai_Metro,0,TNLA_2026
8,Ambattur,GEN,Tiruvallur,Chennai_Metro,0,TNLA_2026
9,Madavaram,GEN,Tiruvallur,Chennai_Metro,0,TNLA_2026
10,Thiruvottiyur,GEN,Tiruvallur,Chennai_Metro,0,TNLA_2026
11,Dr. Radhakrishnan Nagar,GEN,Chennai,Chennai_Metro,0,TNLA_2026
12,Perambur,GEN,Chennai,Chennai_Metro,0,TNLA_2026
13,Kolathur,GEN,Chennai,Chennai_Metro,0,TNLA_2026
14,Villivakkam,GEN,Chennai,Chennai_Metro,0,TNLA_2026
15,Thiru-Vi-Ka-Nagar,SC,Chennai,Chennai_Metro,1,TNLA_2026
16,Egmore,SC,Chennai,Chennai_Metro,1,TNLA_2026
17,Royapuram,GEN,Chennai,Chennai_Metro,0,TNLA_2026
18,Harbour,GEN,Chennai,Chennai_Metro,0,TNLA_2026
19,Chepauk-Thiruvallikeni,GEN,Chennai,Chennai_Metro,0,TNLA_2026
20,Thousand Lights,GEN,Chennai,Chennai_Metro,0,TNLA_2026
21,Anna Nagar,GEN,Chennai,Chennai_Metro,0,TNLA_2026
22,Virugampakkam,GEN,Chennai,Chennai_Metro,0,TNLA_2026
23,Saidapet,GEN,Chennai,Chennai_Metro,0,TNLA_2026
24,Thiyagarayanagar,GEN,Chennai,Chennai_Metro,0,TNLA_2026
25,Mylapore,GEN,Chennai,Chennai_Metro,0,TNLA_2026
26,Velachery,GEN,Chennai,Chennai_Metro,0,TNLA_2026
27,Sholinganallur,GEN,Chengalpattu,Chennai_Metro,0,TNLA_2026
28,Alandur,GEN,Kancheepuram,Chennai_Metro,0,TNLA_2026
29,Sriperumbudur,SC,Kancheepuram,Chennai_Metro,1,TNLA_2026
30,Pallavaram,GEN,Chengalpattu,Chennai_Metro,0,TNLA_2026
31,Tambaram,GEN,Chengalpattu,Chennai_Metro,0,TNLA_2026
32,Chengalpattu,GEN,Chengalpattu,Chennai_Metro,0,TNLA_2026
33,Thiruporur,GEN,Chengalpattu,Chennai_Metro,0,TNLA_2026
34,Cheyyur,SC,Chengalpattu,Chennai_Metro,1,TNLA_2026
35,Madurantakam,SC,Chengalpattu,Chennai_Metro,1,TNLA_2026
36,Uthiramerur,GEN,Kancheepuram,Chennai_Metro,0,TNLA_2026
37,Kancheepuram,GEN,Kancheepuram,Chennai_Metro,0,TNLA_2026
38,Arakkonam,SC,Ranipet,North,1,TNLA_2026
39,Sholingur,GEN,Ranipet,North,0,TNLA_2026
40,Katpadi,GEN,Vellore,North,0,TNLA_2026
41,Ranipet,GEN,Ranipet,North,0,TNLA_2026
42,Arcot,GEN,Ranipet,North,0,TNLA_2026
43,Vellore,GEN,Vellore,North,0,TNLA_2026
44,Anaikattu,GEN,Vellore,North,0,TNLA_2026
45,Kilvaithinankuppam,SC,Vellore,North,1,TNLA_2026
46,Gudiyattam,SC,Vellore,North,1,TNLA_2026
47,Vaniyambadi,GEN,Tirupattur,North,0,TNLA_2026
48,Ambur,GEN,Tirupattur,North,0,TNLA_2026
49,Jolarpet,GEN,Tirupattur,North,0,TNLA_2026
50,Tirupattur,GEN,Tirupattur,North,0,TNLA_2026
51,Uthangarai,SC,Krishnagiri,North,1,TNLA_2026
52,Bargur,GEN,Krishnagiri,North,0,TNLA_2026
53,Krishnagiri,GEN,Krishnagiri,North,0,TNLA_2026
54,Veppanahalli,GEN,Krishnagiri,North,0,TNLA_2026
55,Hosur,GEN,Krishnagiri,North,0,TNLA_2026
56,Thalli,GEN,Krishnagiri,North,0,TNLA_2026
57,Palacode,GEN,Dharmapuri,North,0,TNLA_2026
58,Pennagaram,GEN,Dharmapuri,North,0,TNLA_2026
59,Dharmapuri,GEN,Dharmapuri,North,0,TNLA_2026
60,Pappireddippatti,GEN,Dharmapuri,North,0,TNLA_2026
