District,Total voters,Men,Women,TG
Tiruvallur,3157413,1544710,1612090,613
Chennai,2830936,1365763,1464344,829
Salem,2755830,1370962,1384548,320
Coimbatore,2696813,1300889,1395396,528
Madurai,2466954,1208651,1258051,252
Chengalpattu,2260036,1104511,1155144,381
Tiruchirappalli,2126303,1031354,1094642,307
Cuddalore,2015796,991527,1023976,293
Tiruppur,1955283,944178,1010853,252
Thanjavur,1951445,947278,1004012,155
Tiruvannamalai,1919159,943727,975277,155
Erode,1740222,838466,901574,182
Dindigul,1672075,812937,858964,174
Villupuram,1586653,783288,803154,211
Krishnagiri,1554040,776318,777458,264
Kanyakumari,1510550,751016,759390,144
Virudhunagar,1497417,728539,768632,246
Thoothukudi,1376624,671742,704689,193
Namakkal,1310951,635299,675452,200
Pudukkottai,1298907,641276,657562,69
Tenkasi,1264411,618063,646180,168
Tirunelveli,1253264,611601,641518,145
Dharmapuri,1240108,624647,615311,150
Kanchipuram,1192194,578080,613917,197
Vellore,1133587,549654,583769,164
Ramanathapuram,1123029,556321,566653,55
Sivaganga,1110599,544035,566526,38
Kallakurichi,1109911,552101,557600,210
Theni,1033373,502311,530887,175
Thiruvarur,979652,480679,498919,54
Ranipet,944701,461213,483377,111
Tiruppattur,911599,449464,461996,139
Karur,845164,406027,439054,83
Mayiladuthurai,729216,360493,368676,47
Perambalur,555131,271634,283466,31
Nilgiris,547133,261317,285791,25
Nagapattinam,527947,259620,268298,29
Ariyalur,522954,259234,263692,28
